"symbol","sector","date_stamp","close","adjusted_close","volume","sp500"
AAPL,"2",2020-04-09,267.99,267.2833,40529123.0,2789.820068359375
AAPL,"2",2020-04-13,273.25,272.5294,32755731.0,2761.6298828125
AAPL,"2",2020-04-14,287.05,286.293,48748672.0,2846.06005859375
AAPL,"2",2020-04-15,284.43,283.6799,32788641.0,2783.360107421875
AAPL,"2",2020-04-16,286.69,285.934,39281290.0,2799.550048828125
AAPL,"2",2020-04-17,282.8,282.0542,53812478.0,2874.56005859375
AAPL,"2",2020-04-20,276.93,276.1997,32503750.0,2823.159912109375
AAPL,"2",2020-04-21,268.37,267.6623,45247893.0,2736.56005859375
AAPL,"2",2020-04-22,276.1,275.3719,29264342.0,2799.31005859375
AAPL,"2",2020-04-23,275.03,274.3047,31203582.0,2797.800048828125
AAPL,"2",2020-04-24,282.97,282.2238,31627183.0,2836.739990234375
AAPL,"2",2020-04-27,283.17,282.4233,29271893.0,2878.47998046875
AAPL,"2",2020-04-28,278.58,277.8454,28001187.0,2863.389892578125
AAPL,"2",2020-04-29,287.73,286.9712,34320204.0,2939.510009765625
AAPL,"2",2020-04-30,293.8,293.0252,45765968.0,2912.429931640625
AAPL,"2",2020-05-01,289.07,288.3077,60154175.0,2830.7099609375
AAPL,"2",2020-05-04,293.16,292.3869,33391986.0,2842.739990234375
AAPL,"2",2020-05-05,297.56,296.7753,36937795.0,2868.43994140625
AAPL,"2",2020-05-06,300.63,299.8372,35583438.0,2848.419921875
AAPL,"2",2020-05-07,303.74,302.939,28803764.0,2881.18994140625
AAPL,"2",2020-05-08,310.13,310.13,33511985.0,2929.800048828125
AAPL,"2",2020-05-11,315.01,315.01,36486561.0,2930.18994140625
AAPL,"2",2020-05-12,311.41,311.41,40575263.0,2870.1201171875
AAPL,"2",2020-05-13,307.65,307.65,50155639.0,2820.0
